device,filedate,filetimeutc,intersectid,key,laneid,localtimems,minendtime,movementphase,signalgroupid,uuid
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODM3NTZ9,4,59983756,25023,3,1,61b2b1c50df5808dcd94b6a98055c341
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODQzNTR9,4,59984354,25017,3,1,802d989a93bc61cc921f955f0e6adc21
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODQ4NTR9,4,59984854,25011,3,1,bf32eef98695c19177ed7cada9a5de6c
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODUzNTR9,4,59985354,0,0,1,9da66a972b51672bda5948a8e079c0e7
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODU4NjZ9,4,59985866,25001,3,1,914a0dc9d892388fb36c42f5e991451d
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODY0NTR9,4,59986454,24995,3,1,c18ff16e5ac389a1319a830a5c64b517
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODY5NTR9,4,59986954,0,0,1,3535478658ae7062cc58d1327ea745c2
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODc0NTR9,4,59987454,24985,3,1,7f460e0c6029456ecd590548755e2884
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODc5NTR9,4,59987954,24980,3,1,d553c3d103ba8015da4fb109d6e586c6
101228,20200601,163407,9,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5ODg0NTR9,4,59988454,24975,3,1,f563ebdcde12f09a0b2c4eca9180c631
